序号,HTTP 方法,API 路径,API 名称/摘要,分类/Tag,描述
22,"POST","/otp/finish","完成OTP绑定","","完成双因素认证的绑定流程，将OTP密钥写入数据库并记录绑定时间和手机号"
23,"POST","/otp/forgot","忘记OTP密钥","","通过绑定的邮箱发送OTP恢复验证码。仅对已绑定邮箱的用户有效"
24,"GET","/otp/info","获取OTP配置信息","","获取当前用户的OTP绑定信息，包括用户名和OTP密钥"
25,"POST","/otp/is_twice","检查用户是否启用双因素认证","","检查指定用户是否启用了双因素认证。通过Cookie和数据库双重验证"
26,"GET","/otp/qrbind","获取OTP绑定二维码","","生成一次性密码（OTP）绑定的二维码图片，用于双因素认证设置"
27,"POST","/otp/verify_pwd","验证用户密码","","验证用户密码是否正确，用于敏感操作前的身份确认。该接口需要特殊的密码验证中间件"
28,"PUT","/read/all","标记所有消息已读","","将所有未读消息标记为已读状态。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
29,"PUT","/read/{id}","标记消息已读","","将指定消息标记为已读状态。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
30,"GET","/settings","获取消息中心配置","","获取消息中心当前所有配置项。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
31,"POST","/settings","设置消息中心配置","","更新消息中心配置项，写入配置文件后立即生效。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
32,"GET","/static/subscribe/{path}","获取订阅消息静态资源","","访问订阅消息的静态文件资源，包括HTML页面等"
33,"PUT","/subscribe/close","关闭订阅消息","","将当前用户的所有订阅消息标记为已读，不再显示。前置要求：需要已登录用户的有效 TMSESSNAME Cookie 以及 Cookie 中携带 userName"
34,"PUT","/subscribe/ignore","忽略订阅消息","","将当前用户的订阅消息下次提醒时间延后24小时。前置要求：需要已登录用户的有效 TMSESSNAME Cookie 以及 Cookie 中携带 userName"
35,"GET","/subscribe/list","获取订阅消息列表","","获取当前用户的未读订阅消息列表，返回每条订阅消息的访问URL地址。前置要求：需要已登录用户的有效 TMSESSNAME Cookie 以及 Cookie 中携带 userName"
36,"PUT","/v1/active/{uuid}","激活弹出的USB设备","","存储设备工具接口：激活已弹出的USB设备（内部接口）。"
37,"PUT","/v1/encrypt/{action}/{name}/{password}","加密存储设备","","存储设备工具接口：加密或插入加密的USB设备（内部接口）。"
38,"PUT","/v1/notice/{name}","新磁盘通知","","存储设备工具接口：检测到新磁盘时发送通知（内部接口，无需认证）。"
39,"GET","/v1/part_perms","获取分区权限列表","","存储设备工具接口：获取硬盘分区权限列表（内部接口）。"
40,"PUT","/v1/part_perms","设置分区权限","","存储设备工具接口：设置硬盘分区权限（内部接口）。"
41,"POST","/v1/update_mount_status","更新挂载状态","","存储设备工具接口：更新设备的手动挂载状态（内部接口）。"
42,"PUT","/v1/{name}","磁盘自动挂载","","存储设备工具接口：自动插入挂载存储设备（内部接口，无需认证）。"
43,"PUT","/v1/{name}/{fs}","格式化存储设备","","存储设备工具接口：格式化USB设备为指定文件系统（内部接口）。"
44,"DELETE","/v1/{name}/{remove}","移除存储设备","","存储设备工具接口：移除存储设备（内部接口）。"
45,"GET","/v2/Initialise/IsInitialise","是否已被初始化","",""
46,"POST","/v2/VgMonitor","同步状态监控通知_6.0","","sock文件路径：<span class=""colour"" style=""color:rgb(68, 140, 39)"">/var/api/TerVgMonitor.sock</span>
<span class=""colour"" style=""color:rgb(68, 140, 39)"">url: [http://TerVgMonitor.sock](http://TerVgMonitor.sock)</span>"
47,"POST","/v2/desktop/DealDesktopApp","处理桌面应用【由于加密，无法进一步测试】","","添加或移除桌面应用快捷方式"
48,"GET","/v2/desktop/IsBeta","检查是否为Beta版本","系统信息","检查当前系统是否为Beta版本"
49,"POST","/v2/desktop/batchshowState","批量设置应用显示状态","","批量设置多个应用在桌面或应用列表中的显示状态"
50,"GET","/v2/desktop/eula","获取用户协议","用户协议","获取最终用户许可协议（EULA）内容"
51,"PUT","/v2/desktop/eula","同意用户协议","用户协议","用户同意最终用户许可协议（EULA）"
52,"GET","/v2/desktop/getSort/{id}","获取桌面排序配置","","获取指定模块的桌面排序配置"
53,"GET","/v2/desktop/getTips","获取应用提示状态","提示管理","获取Beta版本提示的显示状态"
54,"PUT","/v2/desktop/hide","隐藏应用","","在指定位置隐藏应用"
55,"GET","/v2/desktop/init","初始化桌面配置","","获取用户桌面初始化配置，包括桌面布局、应用列表等"
56,"GET","/v2/desktop/kernelVersion/pass","检查内核版本","","检查系统内核版本是否符合要求，判断是否支持特定功能"
57,"GET","/v2/desktop/list","获取导航栏列表","","获取用户桌面导航栏应用列表。通过参数控制是否返回所有应用"
58,"GET","/v2/desktop/listDesktop","获取桌面应用列表","","获取用户桌面上显示的应用列表"
59,"POST","/v2/desktop/module","获取桌面模块【由于加密，无法进一步测试】","","根据模块ID获取桌面模块的对话框配置"
60,"GET","/v2/desktop/overviewLocation","获取桌面总览位置信息","桌面总览","获取用户桌面总览模块的位置和显示配置"
61,"POST","/v2/desktop/overviewLocation","设置桌面总览位置信息【由于加密 无法进一步测试】","桌面总览","设置桌面总览模块的位置配置"
62,"POST","/v2/desktop/quickConnection","处理快捷连接","","处理桌面快捷连接的新增和修改操作，根据HTTP方法执行不同操作"
63,"GET","/v2/desktop/recentlyVisited","获取最近访问列表","","获取用户最近访问的文件、应用等项目列表"
64,"POST","/v2/desktop/recentlyVisited","设置最近访问","","添加或更新用户的最近访问记录
打开的最近访问的时候添加应用"
65,"DELETE","/v2/desktop/recentlyVisited/{id}","删除最近访问记录","","删除指定的最近访问记录"
66,"GET","/v2/desktop/recentlyVisitedQuantity/{quantity}","设置最近访问返回数量","","设置最近访问列表返回的项目数量（接口保留，当前未实现具体逻辑）"
67,"POST","/v2/desktop/setSort/{id}","设置桌面排序配置","","设置指定模块的桌面排序配置"
68,"POST","/v2/desktop/setTips","设置应用提示状态","提示管理","设置Beta版本提示为已显示状态"
69,"PUT","/v2/desktop/show","显示应用","","在指定位置显示应用"
70,"POST","/v2/desktop/showState","设置应用显示状态","","设置单个应用在桌面或应用列表中的显示状态"
71,"POST","/v2/disk/AddSysDisk","新增系统盘","","将指定磁盘添加为新的系统盘。"
72,"GET","/v2/disk/CheckSysDisk","检查磁盘是否符合系统盘条件","","判断指定磁盘是否符合作为系统盘的条件要求。"
73,"DELETE","/v2/disk/DelSysDisk","删除系统盘","","删除指定的系统盘。**需要用户密码验证**。"
74,"POST","/v2/disk/DiskScan","磁盘坏块扫描","","开始或停止磁盘坏块扫描。"
75,"GET","/v2/disk/ExportIhmLog","导出IHM日志","","导出IronWolf健康管理日志文件。"
76,"GET","/v2/disk/ExportOverview","导出SMART信息","","导出指定磁盘的SMART详细信息报告。"
77,"GET","/v2/disk/GetDiskAllocations","获取硬盘分配信息","","获取硬盘在存储池、热备盘、SSD缓存中的分配使用情况。"
78,"GET","/v2/disk/GetDiskCapabilities","获取指定磁盘功能","","获取指定磁盘支持的功能特性，如是否支持SMART、是否可做系统盘等。"
79,"GET","/v2/disk/GetDiskDetailData","获取指定磁盘SMART详细信息","","获取指定磁盘的SMART详细信息，包括各项属性值。"
80,"GET","/v2/disk/GetDiskListData","获取硬盘列表数据","","获取系统中所有硬盘的详细信息列表，包括SMART信息、分区信息等。"
81,"GET","/v2/disk/GetDiskListSpeedData","获取磁盘速度数据","","获取所有硬盘的读写速度数据。"
82,"GET","/v2/disk/GetDiskOption","获取硬盘下拉选项","","获取可用硬盘的下拉选择列表。"
83,"GET","/v2/disk/GetDiskStatus","获取硬盘状态","","获取所有硬盘的健康状态、温度、通电时长等状态信息。"
84,"GET","/v2/disk/GetOverview","获取磁盘插槽总览","","获取所有硬盘插槽的状态信息（包括插槽编号、磁盘状态等）。"
85,"GET","/v2/disk/GetPartPerms","获取分区权限列表","","获取指定硬盘分区的用户访问权限设置。"
86,"GET","/v2/disk/GetSysDiskLists","获取系统盘列表","","获取当前系统盘列表及其状态信息。"
87,"GET","/v2/disk/IhmInfoList","获取IHM信息列表","","获取IronWolf健康管理(IHM)信息列表。"
88,"POST","/v2/disk/InitSysDisk","初始化系统盘","","初始化目标磁盘作为系统盘。"
89,"POST","/v2/disk/ManualTest","手动测试IHM","","对指定磁盘执行手动IHM测试。"
90,"POST","/v2/disk/MigrateSysDisk","迁移系统盘","","将系统盘数据迁移到目标磁盘。"
91,"POST","/v2/disk/MountDisk/{name}","挂载硬盘","","挂载指定硬盘分区。"
92,"POST","/v2/disk/UmountDisk/{name}","卸载硬盘","","卸载指定硬盘分区。"
93,"PUT","/v2/disk/UpdatePartPerms","更新分区权限列表","","更新硬盘分区的用户访问权限设置。"
94,"POST","/v2/disk/activation/disable","移除磁盘","","移除指定磁盘。**需要用户密码验证**。移除后磁盘将不可用。"
95,"POST","/v2/disk/activation/enable","启用磁盘","","启用已移除的磁盘，使其重新可用。"
96,"POST","/v2/disk/benchmark/start","开始性能测试","","开始对指定磁盘进行读写性能测试。"
97,"GET","/v2/disk/benchmark/status","获取性能测试状态","","获取指定磁盘的性能测试进度和结果。"
98,"POST","/v2/disk/benchmark/stop","停止性能测试","","停止指定磁盘的性能测试。"
99,"GET","/v2/disk/disk_log","获取磁盘日志列表","","获取磁盘相关事件的日志记录列表。"
100,"POST","/v2/disk/disk_log/delete","清除磁盘日志","","清除所有磁盘事件日志记录。"
101,"GET","/v2/disk/disk_log/export","导出磁盘日志","","导出磁盘事件日志为CSV文件。"
102,"POST","/v2/disk/format/start","开始抹除磁盘","","格式化抹除指定磁盘。**需要用户密码验证**。"
103,"GET","/v2/disk/guidanceInfo","获取磁盘引导信息","","获取磁盘引导信息，包括可用磁盘用途建议。"
104,"POST","/v2/disk/sec_erase/start","开始安全擦除","","对指定磁盘执行安全擦除操作。**需要用户密码验证**。擦除将清除磁盘上的所有数据。"
105,"GET","/v2/disk/setting","获取磁盘设置","","获取磁盘缓存、坏块通知、SMART报告等设置状态。"
106,"POST","/v2/disk/setting","修改磁盘设置","","设置磁盘缓存开关、坏块通知、SMART报告等功能。"
107,"GET","/v2/disk/smart_test/schedule","获取SMART测试任务列表","","获取所有已配置的SMART测试计划任务列表。"
108,"POST","/v2/disk/smart_test/schedule","创建SMART测试任务","","创建新的SMART测试计划任务。"
109,"DELETE","/v2/disk/smart_test/schedule/{id}","删除SMART测试任务","","删除指定的SMART测试计划任务。"
110,"POST","/v2/disk/smart_test/schedule/{id}/edit","编辑SMART测试任务","","修改指定的SMART测试计划任务配置。"
111,"POST","/v2/disk/smart_test/schedule/{id}/exec","执行SMART测试任务","","立即执行指定的SMART测试计划任务。"
112,"POST","/v2/disk/smart_test/schedule/{id}/stop","停止SMART测试任务","","停止正在执行的SMART测试任务。"
113,"POST","/v2/extStorageDevice/CheckUsbCapacity","检查USB容量","","检查USB设备容量并发送容量预警通知。"
114,"GET","/v2/extStorageDevice/DeviceList","获取USB设备列表","","获取所有已连接的USB存储设备列表。"
115,"GET","/v2/extStorageDevice/DownloadSecretKey","下载密钥文件","","下载加密USB设备的密钥文件。"
116,"POST","/v2/extStorageDevice/EditUsbLabel","修改USB卷标","","修改USB分区的卷标名称。仅支持ext2/ext3/ext4/ntfs/vfat/exfat文件系统。"
117,"POST","/v2/extStorageDevice/EditUsbRemindConfig","编辑USB容量预警配置","","设置USB设备容量预警阈值。"
118,"POST","/v2/extStorageDevice/EncryptDevice","加密USB设备","","对USB设备进行加密处理。"
119,"POST","/v2/extStorageDevice/FormattingDevice","格式化USB设备","","格式化指定的USB存储设备为指定文件系统。支持ext4、ntfs、vfat、exfat文件系统。格式化会清除设备上所有数据。"
120,"GET","/v2/extStorageDevice/GetUsbRemindConfig","获取USB容量预警配置","","获取当前USB设备容量预警配置。返回预警开关状态和预警阈值比例。"
121,"GET","/v2/extStorageDevice/IsFormating","检查格式化状态","","检查指定设备是否正在格式化中。"
122,"POST","/v2/extStorageDevice/MountedDevice","挂载加密USB设备","","使用密码或密钥文件挂载加密的USB设备。password和file参数二选一，不可同时为空。"
123,"POST","/v2/extStorageDevice/ObtainSecretKey","获取密钥文件路径","","获取加密USB设备的密钥文件下载路径。验证用户密码后返回密钥文件路径，用于DownloadSecretKey接口下载。"
124,"GET","/v2/extStorageDevice/Process","获取加密进度","","获取USB设备加密操作的进度。"
125,"POST","/v2/extStorageDevice/SetUsbAclAll","批量设置USB访问权限","","批量设置多个USB分区的用户访问权限。"
126,"POST","/v2/extStorageDevice/UnmountDevice","卸载USB设备","","卸载指定的USB存储设备。"
127,"POST","/v2/extStorageDevice/UsbAclAll","批量获取USB访问权限","","批量获取多个USB分区的用户访问权限。"
128,"POST","/v2/hotsparedisk/CreateHotSpareDisk","创建热备盘","","将指定磁盘设置为热备盘，并关联到指定的RAID阵列。"
129,"POST","/v2/hotsparedisk/DelHotSpare","删除热备盘","","取消指定磁盘的热备盘配置。"
130,"GET","/v2/hotsparedisk/GetHotSpareList","获取热备盘列表","","获取当前已配置为热备盘的磁盘列表。"
131,"GET","/v2/hotsparedisk/GetRaidHotSpare","获取阵列列表","","获取系统中所有支持热备功能的RAID阵列列表。"
132,"POST","/v2/hotsparedisk/ModifyArray","修改热备盘阵列关联","","修改热备盘所关联的RAID阵列。"
133,"GET","/v2/lang/tos","获取-语言变量","","注意事项：当前接口返回cookie不固定有，不能用来提取变量与断言"
134,"POST","/v2/login","用户登录","",""
135,"GET","/v2/login/state","获取-登录状态-登录成功","",""
136,"GET","/v2/lvmCache/CacheInfo/{uuid}","获取指定SSD缓存信息","","根据UUID获取指定卷的SSD缓存详细信息。"
137,"GET","/v2/lvmCache/CacheLvsInfo","获取SSD缓存列表","","获取系统中所有LVM缓存（Hyper Cache）的详细信息列表。"
138,"POST","/v2/lvmCache/CreateCacheLv","创建SSD缓存","","使用SSD磁盘为指定卷创建读写缓存，提升存储性能。"
139,"POST","/v2/lvmCache/DeleteCacheLv","删除SSD缓存","","删除指定的LVM缓存。**需要用户密码验证**。"
140,"POST","/v2/lvmCache/FixLvmCache","修复LVM缓存","","修复损坏的LVM缓存阵列。"
141,"GET","/v2/lvmCache/FreeSSDs","获取空闲SSD列表","","获取所有可用于创建LVM缓存的空闲SSD磁盘列表。"
142,"GET","/v2/lvmCache/GetLvmCacheSort","获取LVM缓存排序","","获取下一个可用的LVM缓存排序编号。"
143,"GET","/v2/lvmCache/GetMaxResidueCacheSize","获取最大剩余可设置缓存大小","","获取指定卷可设置的最大缓存大小。"
144,"GET","/v2/lvmCache/GetVolumeList","获取卷列表","","获取系统中所有可配置SSD缓存的卷列表。"
145,"POST","/v2/storage/CheckAvailablePool/{disk}","检测可用存储池","","检测指定磁盘上是否存在可用的或已损坏的存储池。"
146,"POST","/v2/storage/CheckCapacity","检查卷容量预警","","检查所有卷的容量并发送预警通知。"
147,"POST","/v2/storage/CheckMdInfo/{md}","检查mdadm信息","","检查指定md设备的RAID阵列信息。"
148,"GET","/v2/storage/CheckQuota","检查Btrfs配额状态","","检查Btrfs卷的配额是否已启用。"
149,"POST","/v2/storage/EditVolumeRemindConfig","编辑卷容量预警配置","","设置卷容量预警阈值。"
150,"POST","/v2/storage/EnableQuota","启用Btrfs配额","","为Btrfs文件系统的卷启用或禁用配额功能。"
151,"GET","/v2/storage/GetDataScrubbingConf","获取Data Scrubbing配置","","获取RAID阵列的数据校验配置。"
152,"GET","/v2/storage/GetRaidSpeedOrBitmap","获取阵列同步速度及Bitmap","","获取RAID阵列的同步速度和Bitmap状态。"
153,"GET","/v2/storage/GetVolumeRemindConfig","获取卷容量预警配置","","获取当前卷容量预警配置。"
154,"GET","/v2/storage/MountPool/{role}/{uuid}","获取挂载信息","","获取可挂载存储池的顺序和逻辑卷顺序信息。"
155,"POST","/v2/storage/MountPool/{role}/{uuid}","挂载存储池","","挂载可用池或已损坏的存储池。"
156,"POST","/v2/storage/SetDataScrubbing","设置Data Scrubbing","","设置RAID阵列的数据校验计划任务。"
157,"POST","/v2/storage/SetRaidSpeedOrBitmap","设置阵列同步速度及Bitmap","","设置RAID阵列的同步速度和Bitmap开关。"
158,"POST","/v2/storage/StatusForDeleting/{role}","获取删除状态","","检查是否有卷或存储池正在被删除。"
159,"POST","/v2/storage/StopDataScrubbing","停止Data Scrubbing","","停止正在运行的数据校验任务。"
160,"POST","/v2/storage/StorageDescription/{uuid}","编辑存储池描述","","修改存储池的描述信息。"
161,"GET","/v2/storage/VgMonitor","VG监控","","处理卷组事件监控（内部接口）。"
162,"POST","/v2/storage/compression/{uuid}","设置卷压缩","","设置指定卷的压缩功能。"
163,"GET","/v2/storage/create/pool","获取创建资源信息","","获取创建卷或存储池所需的资源信息（可用磁盘、可用存储池等）。"
164,"POST","/v2/storage/create/pool","创建卷或存储池","","创建新的逻辑卷或存储池。"
165,"GET","/v2/storage/create/volume","获取创建资源信息","","获取创建卷或存储池所需的资源信息（可用磁盘、可用存储池等）。"
166,"POST","/v2/storage/create/volume","创建卷或存储池","","创建新的逻辑卷或存储池。"
167,"PUT","/v2/storage/defragment/{uuid}","碎片整理","","对指定卷执行碎片整理操作。"
168,"DELETE","/v2/storage/delete/{role}/{uuid}","删除卷或存储池","","删除指定的卷或存储池。**需要用户密码验证**。删除存储池前需先删除其下的所有卷。"
169,"GET","/v2/storage/edit/pool/{uuid}","获取卷或存储池信息","","获取指定卷或存储池的详细信息。"
170,"GET","/v2/storage/edit/volume/{uuid}","获取卷或存储池信息","","获取指定卷或存储池的详细信息。"
171,"POST","/v2/storage/edit/volume/{uuid}","编辑卷或存储池","","修改卷或存储池的配置信息。"
172,"POST","/v2/storage/edit/{role}/{uuid}","编辑卷或存储池","","修改卷或存储池的配置信息。"
173,"GET","/v2/storage/list/storagePool","获取卷或存储池列表","","获取系统中所有卷或存储池的列表信息。"
174,"GET","/v2/storage/list/volume","获取卷或存储池列表","","获取系统中所有卷或存储池的列表信息。"
175,"GET","/v2/storage/overview","获取磁盘分配总览","","获取系统中所有磁盘、存储池和卷的分配结构概览。"
176,"GET","/v2/storage/ssd/trim/{uuid}","获取SSD TRIM信息","","获取指定卷的SSD TRIM配置信息。"
177,"POST","/v2/storage/ssd/trim/{uuid}","设置SSD TRIM","","设置指定卷的SSD TRIM计划任务。"
178,"GET","/v2/storage/status","获取存储状态","","获取系统中是否存在卷或存储池的状态。"
179,"POST","/v2/storage/volumeFormatting","卷格式化","","格式化指定卷。**需要用户密码验证**。"
180,"POST","/v2/storage/volumeOccupyAction","卷容量统计操作","","开始或关闭卷容量占用统计。"
181,"GET","/v2/storage/volumeOccupyStatus","获取卷容量占用情况","","获取指定卷的容量使用详情。"
182,"GET","/v2/storage/volumeOccupyStatusAll","获取全部卷容量占用情况","","获取指定卷的全部容量使用详情（包含子项）。"
183,"POST","/v2/system/prompt","设置提示状态","系统提示","将指定提示标记为已显示"
184,"GET","/v2/system/prompt/{id}","获取提示状态【未找到接口，无法填写id】","系统提示","获取指定提示ID的显示状态"
185,"POST","/v2/virtualdisk/ClientLunRemove","卸载LUN","","卸载指定的LUN设备。"
186,"POST","/v2/virtualdisk/FormattingMountLun","格式化LUN","","格式化指定的LUN设备。"
187,"GET","/v2/virtualdisk/GetIscsiInfo","获取虚拟磁盘信息","","获取已登录的iSCSI Target和LUN信息。"
188,"GET","/v2/virtualdisk/GetIscsidStatus","获取iSCSI服务状态","","获取iSCSI服务的运行状态。"
189,"GET","/v2/virtualdisk/GetLunList","获取LUN列表","","获取指定Target下的所有LUN信息。"
190,"GET","/v2/virtualdisk/GetTargetAttr","获取Target认证信息","","获取指定Target的CHAP认证信息。"
191,"GET","/v2/virtualdisk/GetTargetInfo","获取Target信息","","根据IP和端口获取iSCSI Target列表信息。"
192,"POST","/v2/virtualdisk/IscsiAction","iSCSI操作","","对已登录的iSCSI Target执行断开或联机操作。"
193,"POST","/v2/virtualdisk/IscsiLogin","登录iSCSI Target","","使用CHAP认证登录到指定的iSCSI Target。"
194,"POST","/v2/virtualdisk/MountLun","挂载LUN","","挂载指定的LUN设备到系统。"
195,"POST","/v2/virtualdisk/RemoveIscsi","删除iSCSI连接","","删除与指定Target的连接。"
196,"POST","/v2/virtualdisk/SetIscsidStatus","设置iSCSI服务状态","","启动或停止iSCSI服务。"
197,"GET","/v2/welcome","获取登录欢迎页配置","欢迎页","获取登录页面的标题、描述等配置信息"
198,"GET","/v2/welcome/advancedSetting","获取用户高级设置","欢迎页","获取用户高级配置信息，包括密码策略和家目录设置"
199,"GET","/version","获取消息中心版本","","获取消息中心服务版本号。前置要求：需要已登录用户的有效 TMSESSNAME Cookie"
